Título,Link
"Questionada sobre Bolsonaro, Casa Branca diz que Trump não teme usar 'meios militares'",https://g1.globo.com/mundo/noticia/2025/09/09/trump-nao-tem-medo-de-usar-meios-militares-para-proteger-liberdade-de-expressao-diz-casa-branca-sobre-eventual-condenacao-de-bolsonaro.ghtml
Julgamento no STF,
Mega-Sena pode pagar R$ 46 milhões; veja números,https://g1.globo.com/loterias/mega-sena/noticia/2025/09/09/mega-sena-concurso-2912-resultado.ghtml
Dino: 'Alguém acredita que o Mickey vai mudar julgamento?',https://g1.globo.com/politica/noticia/2025/09/09/sera-que-alguem-acredita-que-um-tuite-de-presidente-estrangeiro-vai-mudar-o-julgamento-questiona-dino.ghtml
Placar do julgamento: como votou cada ministro até agora,https://g1.globo.com/politica/noticia/2025/09/09/trama-golpista-placar-do-julgamento-infografico.ghtml
VÍDEOS: reveja o momento em que Moraes vota pela condenação,https://g1.globo.com/politica/playlist/videos-terceiro-dia-de-julgamento-trama-golpista.ghtml
Suspeito de incendiar banheiros químicos perto do STF é preso,https://g1.globo.com/df/distrito-federal/noticia/2025/09/09/pm-detem-suspeito-de-incendiar-banheiros-quimicos-na-esplanada-dos-ministerios-a-menos-de-2-km-do-stf.ghtml
